model,split_policy,group_type,group,n,ade_meters,fde_meters,rmse_meters,mae_meters
gru_baseline,vessel_disjoint_test,region,east_gulf_coast,22030,19613.288227301575,20410.82557940813,14404.957058582475,12152.339172305343
gru_baseline,vessel_disjoint_test,region,hawaii_pacific,274,146950.85892978802,132984.20562084825,104205.31499475044,78560.1960248293
gru_baseline,vessel_disjoint_test,region,other,770,50429.16107054256,58227.1862213617,37404.889240249504,32005.097373510846
gru_baseline,vessel_disjoint_test,region,west_coast,4637,33121.359701938505,32331.200018815678,23985.419967590056,21418.060693086485
gru_baseline,vessel_disjoint_test,speed_bin,sog_0_2,19932,22820.922651499328,22528.958175222386,16530.149449521534,14108.313280768336
gru_baseline,vessel_disjoint_test,speed_bin,sog_15_50,475,48719.81874724813,57856.67144435194,37093.17829615679,30125.579050266264
gru_baseline,vessel_disjoint_test,speed_bin,sog_2_8,4971,21215.430604458732,22371.779999494564,15603.262217109033,13418.634926994106
gru_baseline,vessel_disjoint_test,speed_bin,sog_8_15,2333,34843.1308302745,39907.259352800305,26255.294648115734,21851.870340718677
gru_baseline,vessel_disjoint_test,turn_bin,turn_0_5,12854,24431.764530002747,26113.94152795214,17975.07037767445,15276.217615649712
gru_baseline,vessel_disjoint_test,turn_bin,turn_15_45,5810,22054.33376728387,21294.941319277594,16105.118534041143,13624.93295820798
gru_baseline,vessel_disjoint_test,turn_bin,turn_45_180,4085,25415.134561868384,25440.18192204612,18363.455671738106,15716.9607206839
gru_baseline,vessel_disjoint_test,turn_bin,turn_5_15,4962,23933.306895327547,23685.512115137524,17387.869342479666,14807.708953122094
kalman_filter_cv,vessel_disjoint_test,region,east_gulf_coast,22030,3201.0589141715213,5936.476739196795,3009.8331795379,1984.5801639669533
kalman_filter_cv,vessel_disjoint_test,region,hawaii_pacific,274,515.131442219465,1123.9483662475482,484.10610839728224,302.1946493535959
kalman_filter_cv,vessel_disjoint_test,region,other,770,6033.048966789163,13566.01354679489,5986.471347984454,3857.9367679728884
kalman_filter_cv,vessel_disjoint_test,region,west_coast,4637,2342.0045955898945,5211.375760981403,2295.843019391953,1515.360526750879
kalman_filter_cv,vessel_disjoint_test,speed_bin,sog_0_2,19932,2590.1410482903993,4326.584966271244,2386.348988171855,1604.5628840004683
kalman_filter_cv,vessel_disjoint_test,speed_bin,sog_15_50,475,11685.410914636584,27728.642733893448,11777.245600918359,7167.300889934143
kalman_filter_cv,vessel_disjoint_test,speed_bin,sog_2_8,4971,2651.87157263049,5749.4706290413715,2539.1590257183007,1688.4801744038498
kalman_filter_cv,vessel_disjoint_test,speed_bin,sog_8_15,2333,6775.002898423467,16163.870084988237,6821.096368738101,4295.066500823072
kalman_filter_cv,vessel_disjoint_test,turn_bin,turn_0_5,12854,2369.4633473820527,5558.581938489384,2399.206522523627,1494.7832354475054
kalman_filter_cv,vessel_disjoint_test,turn_bin,turn_15_45,5810,1915.9967881575471,2956.5770210597393,1969.4221743830126,1197.9918767302593
kalman_filter_cv,vessel_disjoint_test,turn_bin,turn_45_180,4085,6932.650896217894,11555.325998434206,6021.480302463562,4275.273274764243
